,acc,uar
fold1,0.8414285714285714,0.8336696949562317
fold2,0.8428571428571429,0.8407467436246987
fold3,0.8235714285714286,0.8187355909626518
fold4,0.89,0.8899867023178003
fold5,0.8314285714285714,0.8301495822028414
average,0.8458571428571429,0.8426576628128448
