,acc,uar
fold1,0.6,0.5829556430641206
fold2,0.63,0.6205251523907092
fold3,0.6264285714285714,0.6079504715963604
fold4,0.5807142857142857,0.5776965171793704
fold5,0.535,0.5298400797151165
average,0.5944285714285714,0.5837935727891355
