,acc,uar,epoch,dataset
fold1,0.6487804878048781,0.6117638511028269,190,crema-d
fold2,0.6666666666666666,0.5967534067226695,183,crema-d
fold3,0.6946236559139785,0.6033230510013713,175,crema-d
fold4,0.6829268292682927,0.6056592456165418,196,crema-d
fold5,0.6848167539267016,0.6456586051102569,154,crema-d
average,0.6755628787161034,0.6126316319107333,154,crema-d
