,acc,uar,epoch,dataset
fold1,0.6253658536585366,0.5836659652490674,199,crema-d
fold2,0.6433862433862434,0.5854773401692489,195,crema-d
fold3,0.6849462365591398,0.6039332612209327,183,crema-d
fold4,0.6702014846235419,0.5616486560039701,156,crema-d
fold5,0.6492146596858639,0.5769797705988076,161,crema-d
average,0.6546228955826651,0.5823409986484054,161,crema-d
