,acc,uar
fold1,0.7992857142857143,0.7865449141087659
fold2,0.7578571428571429,0.7529757340416613
fold3,0.7714285714285715,0.7685571684133998
fold4,0.8142857142857143,0.8118872549019608
fold5,0.8071428571428572,0.7994236334866485
average,0.79,0.7838777409904873
