,acc,uar
fold1,0.845,0.8353898066075746
fold2,0.795,0.7928303947573725
fold3,0.8257142857142857,0.8252042483660131
fold4,0.8564285714285714,0.8563854113073801
fold5,0.8428571428571429,0.840716575091575
average,0.833,0.8301052872259831
