,acc,uar
fold1,0.4521428571428571,0.5013003901170351
fold2,0.4764285714285714,0.501360544217687
fold3,0.47214285714285714,0.49924471299093653
fold4,0.48928571428571427,0.4999081210760043
fold5,0.4614285714285714,0.49988913616542524
average,0.4702857142857143,0.5003405809134176
