,acc,uar,epoch,dataset
fold1,0.671219512195122,0.6400897457457193,168,crema-d
fold2,0.7026455026455026,0.6420360478085907,197,crema-d
fold3,0.7397849462365591,0.6776074589113545,192,crema-d
fold4,0.7274655355249204,0.6201548104474187,165,crema-d
fold5,0.7057591623036649,0.6365051227651124,152,crema-d
average,0.7093749317811537,0.6432786371356392,152,crema-d
