,acc,uar,epoch,dataset
fold1,0.6458536585365854,0.5556336476350425,170,crema-d
fold2,0.6275132275132275,0.5672880413327517,166,crema-d
fold3,0.6989247311827957,0.5731602312945294,188,crema-d
fold4,0.6638388123011665,0.5765084598039831,168,crema-d
fold5,0.6240837696335079,0.5620839860433422,176,crema-d
average,0.6520428398334566,0.5669348732219298,176,crema-d
