,acc,uar
fold1,0.5942857142857143,0.599933130247418
fold2,0.5771428571428572,0.5791460982706201
fold3,0.5985714285714285,0.6007470005557554
fold4,0.5942857142857143,0.5952287645733321
fold5,0.5978571428571429,0.5992169983506073
average,0.5924285714285714,0.5948543983995466
