,acc,uar,epoch,dataset
fold1,0.6565853658536586,0.5906088776667264,197,crema-d
fold2,0.6582010582010582,0.5839557951727978,181,crema-d
fold3,0.7010752688172043,0.6028642324653652,181,crema-d
fold4,0.6839872746553552,0.5935520788194524,183,crema-d
fold5,0.680628272251309,0.6258607147951984,197,crema-d
average,0.6760954479557171,0.599368339783908,197,crema-d
