,acc,uar
fold1,0.7028571428571428,0.6445658742949234
fold2,0.6342857142857142,0.6041586256169367
fold3,0.6357142857142857,0.6253267973856209
fold4,0.6478571428571429,0.6408134682444406
fold5,0.6257142857142857,0.6102335164835165
average,0.6492857142857142,0.6250196564050876
