,acc,uar,epoch,dataset
fold1,0.6380487804878049,0.6171489023987995,180,crema-d
fold2,0.6857142857142857,0.6088674192236523,152,crema-d
fold3,0.7,0.6302656152230744,192,crema-d
fold4,0.7126193001060446,0.6171040528226243,199,crema-d
fold5,0.6858638743455497,0.596699765479883,182,crema-d
average,0.6844492481307369,0.6140171510296067,182,crema-d
