,acc,uar,epoch,dataset
fold1,0.6253658536585366,0.5900781645669141,157,crema-d
fold2,0.6645502645502646,0.6326863163709832,170,crema-d
fold3,0.7,0.6218157684376376,199,crema-d
fold4,0.689289501590668,0.5991707275696454,183,crema-d
fold5,0.6565445026178011,0.5893456021123065,182,crema-d
average,0.6671500244834541,0.6066193158114974,182,crema-d
