,acc,uar,epoch,dataset
fold1,0.5412979351032449,0.5105546845012329,187,iemocap_msp-improv
fold2,0.5914669783752192,0.5510507373322913,192,iemocap_msp-improv
fold3,0.548790658882402,0.4970925639647282,174,iemocap_msp-improv
fold4,0.5679945054945055,0.5408923955683045,168,iemocap_msp-improv
fold5,0.5430316490838423,0.4875978190592962,166,iemocap_msp-improv
average,0.5585163453878428,0.5174376400851706,166,iemocap_msp-improv
