,acc,uar
fold1,0.43857142857142856,0.4934429095995803
fold2,0.475,0.49719742302125575
fold3,0.49214285714285716,0.5160728954770143
fold4,0.5071428571428571,0.49837170129140934
fold5,0.47,0.5007798135014447
average,0.47657142857142853,0.5011729485781409
